,gene,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster
SGCB,SGCB,5.70E-08,-0.293796034,0.01,0.145,1.09E-03,TAM
LDHB,LDHB,5.72E-08,-0.610988206,0.417,0.579,1.09E-03,TAM
NES,NES,5.74E-08,-0.391061738,0.015,0.154,1.10E-03,TAM
HACD3,HACD3,5.90E-08,-0.396841784,0.083,0.249,1.13E-03,TAM
CAMK2N1,CAMK2N1,5.93E-08,-0.332329895,0.01,0.145,1.13E-03,TAM
HSPA8,HSPA8,5.95E-08,-0.739667363,0.838,0.909,1.14E-03,TAM
RCAN2,RCAN2,6.02E-08,-0.434232639,0,0.128,1.15E-03,TAM
COL3A1,COL3A1,6.39E-08,-1.006833858,0.02,0.157,1.22E-03,TAM
MALL,MALL,6.47E-08,-0.444376468,0.005,0.135,1.24E-03,TAM
OLFML2A,OLFML2A,6.51E-08,-0.353512108,0.005,0.136,1.24E-03,TAM
KIAA1462,KIAA1462,6.69E-08,-0.341000347,0,0.127,1.28E-03,TAM
SUN1,SUN1,6.96E-08,-0.307397612,0.039,0.192,1.33E-03,TAM
RTF1,RTF1,7.26E-08,-0.393250459,0.26,0.469,1.39E-03,TAM
FAM63B,FAM63B,7.52E-08,-0.386972281,0.069,0.234,1.44E-03,TAM
FABP5,FABP5,7.76E-08,0.903127347,0.495,0.324,1.48E-03,TAM
RPL37A,RPL37A,7.87E-08,0.270436597,0.995,0.986,1.50E-03,TAM
PDLIM3,PDLIM3,8.15E-08,-0.6687631,0.034,0.181,1.56E-03,TAM
FABP4,FABP4,8.22E-08,-0.677899405,0.078,0.243,1.57E-03,TAM
NUAK1,NUAK1,8.27E-08,-0.378062777,0,0.125,1.58E-03,TAM
POMP,POMP,8.31E-08,0.339240589,0.828,0.708,1.59E-03,TAM
CSNK1E,CSNK1E,8.33E-08,-0.385699174,0.088,0.256,1.59E-03,TAM
CLIC4,CLIC4,8.39E-08,-0.487980126,0.142,0.322,1.60E-03,TAM
HOXB2,HOXB2,8.49E-08,-0.348340508,0.015,0.153,1.62E-03,TAM
PCBP2,PCBP2,8.55E-08,0.389961087,0.779,0.691,1.63E-03,TAM
FHL1,FHL1,8.69E-08,-0.508610102,0.029,0.172,1.66E-03,TAM
CH17-340M24.3,CH17-340M24.3,8.84E-08,0.275335114,0.162,0.065,1.69E-03,TAM
TP53I11,TP53I11,8.98E-08,-0.42521446,0.02,0.157,1.72E-03,TAM
IGLC3,IGLC3,9.08E-08,-4.996731831,0.142,0.312,1.74E-03,TAM
ANGPTL4,ANGPTL4,9.36E-08,-0.487911558,0.025,0.165,1.79E-03,TAM
S100A13,S100A13,9.66E-08,-0.461972778,0.093,0.261,1.84E-03,TAM
SATB1,SATB1,9.69E-08,0.279795734,0.196,0.084,1.85E-03,TAM
OTUD6B-AS1,OTUD6B-AS1,9.77E-08,-0.374141523,0.118,0.302,1.87E-03,TAM
DKK3,DKK3,9.94E-08,-0.48030513,0.01,0.14,1.90E-03,TAM
CTSF,CTSF,1.00E-07,-0.311344434,0.025,0.163,1.91E-03,TAM
CFAP36,CFAP36,1.01E-07,-0.433326296,0.054,0.207,1.92E-03,TAM
MAP4,MAP4,1.07E-07,-0.533987445,0.157,0.329,2.04E-03,TAM
A4GALT,A4GALT,1.08E-07,-0.282428194,0,0.123,2.06E-03,TAM
FZD4,FZD4,1.09E-07,-0.325394815,0.01,0.142,2.07E-03,TAM
PLA2G5,PLA2G5,1.11E-07,-0.731057221,0.029,0.169,2.12E-03,TAM
PPP1CA,PPP1CA,1.12E-07,0.349392532,0.618,0.488,2.13E-03,TAM
YES1,YES1,1.13E-07,-0.31718019,0.025,0.165,2.15E-03,TAM
RPS27L,RPS27L,1.14E-07,-0.55101071,0.529,0.711,2.17E-03,TAM
PTN,PTN,1.15E-07,-0.795457686,0.02,0.154,2.20E-03,TAM
MACF1,MACF1,1.16E-07,-0.463813916,0.152,0.334,2.21E-03,TAM
AGT,AGT,1.17E-07,-1.498516156,0.132,0.281,2.23E-03,TAM
TALDO1,TALDO1,1.20E-07,0.428154547,0.544,0.402,2.30E-03,TAM
CDC42SE2,CDC42SE2,1.21E-07,0.319243358,0.397,0.249,2.32E-03,TAM
NUDT4,NUDT4,1.21E-07,-0.495129288,0.147,0.326,2.32E-03,TAM
CLDN5,CLDN5,1.23E-07,-1.856296787,0.103,0.256,2.35E-03,TAM
CYB5R3,CYB5R3,1.25E-07,-0.471068873,0.255,0.446,2.39E-03,TAM
IPO11,IPO11,1.26E-07,-0.380988295,0.02,0.154,2.41E-03,TAM
PAM,PAM,1.26E-07,-0.31598782,0.015,0.148,2.41E-03,TAM
PTPN18,PTPN18,1.26E-07,0.378505427,0.25,0.126,2.42E-03,TAM
ICAM2,ICAM2,1.32E-07,-0.660277052,0.162,0.343,2.53E-03,TAM
IGLV3-1,IGLV3-1,1.33E-07,-0.595168197,0.005,0.13,2.55E-03,TAM
ATP5J2,ATP5J2,1.37E-07,0.318545365,0.735,0.579,2.62E-03,TAM
FNBP1L,FNBP1L,1.38E-07,-0.267001934,0.005,0.131,2.63E-03,TAM
SRPRA,SRPRA,1.38E-07,-0.318592114,0.103,0.282,2.64E-03,TAM
PLTP,PLTP,1.38E-07,0.47558787,0.216,0.102,2.65E-03,TAM
IFITM1,IFITM1,1.40E-07,-0.423756216,0,0.121,2.67E-03,TAM
EPN2,EPN2,1.47E-07,-0.262393932,0.01,0.14,2.80E-03,TAM
NEXN,NEXN,1.49E-07,-0.529634136,0.005,0.129,2.84E-03,TAM
LTBP4,LTBP4,1.49E-07,-0.503723515,0.02,0.153,2.85E-03,TAM
TMEM223,TMEM223,1.50E-07,-0.270984305,0.029,0.173,2.87E-03,TAM
APBB2,APBB2,1.50E-07,-0.275338703,0.005,0.129,2.87E-03,TAM
RHOA,RHOA,1.55E-07,0.400910141,0.809,0.709,2.97E-03,TAM
SYNPO2,SYNPO2,1.57E-07,-0.426288564,0.005,0.13,3.00E-03,TAM
PLAU,PLAU,1.63E-07,0.582665377,0.142,0.055,3.11E-03,TAM
TPMT,TPMT,1.67E-07,0.402122803,0.27,0.146,3.19E-03,TAM
BTNL9,BTNL9,1.68E-07,-0.501110129,0.015,0.144,3.21E-03,TAM
F10,F10,1.69E-07,-0.417140072,0.029,0.167,3.23E-03,TAM
ATP5D,ATP5D,1.71E-07,-0.387904282,0.245,0.466,3.26E-03,TAM
FMO3,FMO3,1.71E-07,-0.323634852,0.005,0.129,3.26E-03,TAM
TRMT6,TRMT6,1.71E-07,0.259986021,0.176,0.076,3.28E-03,TAM
TBX2,TBX2,1.73E-07,-0.391334263,0,0.12,3.30E-03,TAM
COLEC11,COLEC11,1.76E-07,-0.827674029,0.015,0.144,3.36E-03,TAM
RCN1,RCN1,1.77E-07,-0.413896965,0.127,0.299,3.38E-03,TAM
HSD17B11,HSD17B11,1.79E-07,0.376581258,0.554,0.404,3.43E-03,TAM
FBLIM1,FBLIM1,1.86E-07,-0.374989749,0.025,0.161,3.55E-03,TAM
GSTA4,GSTA4,1.87E-07,-0.281660574,0.01,0.136,3.57E-03,TAM
PGD,PGD,1.88E-07,0.378494285,0.211,0.103,3.59E-03,TAM
RAB30,RAB30,1.88E-07,-0.310758264,0.029,0.17,3.60E-03,TAM
FKBP15,FKBP15,1.88E-07,0.319438773,0.147,0.058,3.60E-03,TAM
COX6B1,COX6B1,1.89E-07,0.342839204,0.863,0.769,3.61E-03,TAM
PCOLCE,PCOLCE,1.89E-07,-0.441379037,0.01,0.136,3.62E-03,TAM
PLCB1,PLCB1,1.92E-07,-0.270081418,0,0.119,3.66E-03,TAM
NOP10,NOP10,1.93E-07,0.386707595,0.706,0.583,3.68E-03,TAM
MLLT4,MLLT4,1.94E-07,-0.255993215,0.01,0.137,3.70E-03,TAM
PLEKHA2,PLEKHA2,1.95E-07,0.27001548,0.235,0.112,3.72E-03,TAM
HEYL,HEYL,1.95E-07,-0.449983388,0.005,0.127,3.73E-03,TAM
HSPE1,HSPE1,1.97E-07,-0.620688395,0.711,0.827,3.77E-03,TAM
KCNJ8,KCNJ8,2.02E-07,-0.443002199,0,0.118,3.86E-03,TAM
CCDC50,CCDC50,2.03E-07,-0.319561289,0.162,0.355,3.88E-03,TAM
H1F0,H1F0,2.06E-07,-0.367930867,0.069,0.227,3.93E-03,TAM
HCFC1R1,HCFC1R1,2.06E-07,-0.568328796,0.147,0.319,3.94E-03,TAM
C1QTNF1,C1QTNF1,2.07E-07,-0.423402402,0.005,0.127,3.95E-03,TAM
UNC119,UNC119,2.17E-07,0.366916399,0.211,0.101,4.15E-03,TAM
FAM162B,FAM162B,2.19E-07,-0.461661116,0.005,0.126,4.19E-03,TAM
ENAH,ENAH,2.20E-07,-0.331466742,0.029,0.168,4.19E-03,TAM
SNHG7,SNHG7,2.23E-07,-0.494237351,0.172,0.349,4.26E-03,TAM
TGFBR3,TGFBR3,2.24E-07,-0.319873115,0,0.118,4.28E-03,TAM
RNF13,RNF13,2.30E-07,0.456005604,0.412,0.278,4.39E-03,TAM
CD3D,CD3D,2.32E-07,-1.229005605,0.069,0.214,4.44E-03,TAM
ACTR10,ACTR10,2.35E-07,-0.366141334,0.103,0.273,4.50E-03,TAM
OTOA,OTOA,2.37E-07,0.306754356,0.127,0.047,4.53E-03,TAM
RUNX1T1,RUNX1T1,2.38E-07,-0.36832028,0.01,0.134,4.55E-03,TAM
CNOT6L,CNOT6L,2.41E-07,-0.426919295,0.064,0.221,4.61E-03,TAM
HDLBP,HDLBP,2.52E-07,-0.27351009,0.181,0.386,4.82E-03,TAM
VPS29,VPS29,2.53E-07,0.460471844,0.534,0.412,4.83E-03,TAM
ZYX,ZYX,2.62E-07,0.388669537,0.382,0.236,5.00E-03,TAM
ASXL1,ASXL1,2.63E-07,-0.297792447,0.029,0.167,5.02E-03,TAM
HDAC7,HDAC7,2.72E-07,-0.378574886,0.034,0.171,5.21E-03,TAM
MED21,MED21,2.76E-07,-0.327884449,0.054,0.205,5.28E-03,TAM
ARAP1,ARAP1,2.77E-07,0.270823306,0.132,0.05,5.30E-03,TAM
PON2,PON2,2.80E-07,-0.391706096,0.083,0.237,5.35E-03,TAM
TBX2-AS1,TBX2-AS1,2.85E-07,-0.393169454,0.005,0.124,5.45E-03,TAM
AC013461.1,AC013461.1,3.02E-07,-0.692455419,0.118,0.274,5.76E-03,TAM
COMMD9,COMMD9,3.29E-07,0.267278061,0.26,0.138,6.29E-03,TAM
VASN,VASN,3.52E-07,-0.341887101,0.01,0.132,6.73E-03,TAM
CYB5A,CYB5A,3.54E-07,-0.808658717,0.211,0.371,6.77E-03,TAM
SLCO2A1,SLCO2A1,3.58E-07,-0.378274315,0,0.114,6.84E-03,TAM
C4orf32,C4orf32,3.59E-07,-0.458421926,0.059,0.205,6.86E-03,TAM
MIF4GD,MIF4GD,3.63E-07,0.322622728,0.265,0.143,6.94E-03,TAM
PXDN,PXDN,3.64E-07,-0.292935351,0.005,0.122,6.96E-03,TAM
RBM3,RBM3,3.66E-07,0.372000582,0.716,0.594,6.99E-03,TAM
BAD,BAD,3.67E-07,-0.351107663,0.162,0.346,7.01E-03,TAM
SOD1,SOD1,3.79E-07,-0.592614145,0.681,0.784,7.24E-03,TAM
ATP6V1G1,ATP6V1G1,3.81E-07,0.384476221,0.775,0.694,7.27E-03,TAM
PLOD1,PLOD1,3.95E-07,-0.316008303,0.054,0.199,7.54E-03,TAM
GALNT18,GALNT18,3.97E-07,-0.264383675,0,0.113,7.59E-03,TAM
IGHG1,IGHG1,3.98E-07,-5.062760125,0.167,0.301,7.61E-03,TAM
EVA1C,EVA1C,4.09E-07,-0.290193937,0.01,0.131,7.81E-03,TAM
ERP29,ERP29,4.17E-07,0.41058358,0.652,0.585,7.96E-03,TAM
AGRN,AGRN,4.23E-07,-0.307301773,0.025,0.154,8.08E-03,TAM
MRPS31,MRPS31,4.26E-07,-0.274174873,0.054,0.2,8.14E-03,TAM
GIMAP7,GIMAP7,4.29E-07,-0.848872678,0.142,0.294,8.20E-03,TAM
HIST1H2BG,HIST1H2BG,4.34E-07,-0.311070622,0.02,0.148,8.29E-03,TAM
MFSD14B,MFSD14B,4.39E-07,0.278749812,0.191,0.088,8.39E-03,TAM
WTAP,WTAP,4.43E-07,0.556638357,0.422,0.285,8.46E-03,TAM
UBE2E2,UBE2E2,4.47E-07,0.326800824,0.25,0.131,8.54E-03,TAM
DBNL,DBNL,4.51E-07,0.422975765,0.402,0.272,8.62E-03,TAM
ACAT1,ACAT1,4.64E-07,-0.389347886,0.127,0.296,8.87E-03,TAM
RALBP1,RALBP1,4.68E-07,-0.309975878,0.108,0.279,8.94E-03,TAM
PRKD2,PRKD2,4.68E-07,-0.303783838,0.025,0.153,8.94E-03,TAM
CLEC2D,CLEC2D,4.73E-07,-0.745401806,0.069,0.212,9.04E-03,TAM
RASD1,RASD1,4.81E-07,-0.502840551,0.034,0.168,9.19E-03,TAM
FAM96A,FAM96A,4.86E-07,0.376881168,0.338,0.211,9.29E-03,TAM
THSD7A,THSD7A,4.88E-07,-0.319912527,0,0.112,9.33E-03,TAM
SLC39A7,SLC39A7,5.04E-07,-0.314287059,0.098,0.258,9.62E-03,TAM
OAF,OAF,5.27E-07,-0.254809737,0.01,0.128,1.01E-02,TAM
ADGRA2,ADGRA2,5.42E-07,-0.294821326,0,0.111,1.03E-02,TAM
TCEA1,TCEA1,5.42E-07,-0.417878516,0.265,0.464,1.04E-02,TAM
WSB1,WSB1,5.44E-07,0.271654941,0.681,0.482,1.04E-02,TAM
PIK3C2A,PIK3C2A,5.48E-07,-0.381702479,0.074,0.226,1.05E-02,TAM
MTRNR2L10,MTRNR2L10,5.56E-07,-1.359211146,0.735,0.74,1.06E-02,TAM
SYPL1,SYPL1,5.70E-07,-0.497855708,0.275,0.437,1.09E-02,TAM
DAD1,DAD1,5.77E-07,-0.431554288,0.446,0.619,1.10E-02,TAM
YIPF3,YIPF3,5.81E-07,-0.40334467,0.221,0.403,1.11E-02,TAM
BDH2,BDH2,5.84E-07,-0.259094811,0.039,0.177,1.12E-02,TAM
FAM114A1,FAM114A1,5.89E-07,-0.255227677,0.034,0.168,1.13E-02,TAM
CREB5,CREB5,5.94E-07,0.321338469,0.181,0.082,1.14E-02,TAM
ERRFI1,ERRFI1,5.95E-07,-0.443397007,0.039,0.171,1.14E-02,TAM
PRKAG2-AS1,PRKAG2-AS1,5.96E-07,0.258977509,0.123,0.046,1.14E-02,TAM
MGEA5,MGEA5,5.97E-07,-0.420423359,0.137,0.306,1.14E-02,TAM
ROCK2,ROCK2,6.13E-07,-0.285665362,0.034,0.169,1.17E-02,TAM
C12orf65,C12orf65,6.15E-07,-0.276212908,0.025,0.153,1.18E-02,TAM
CTGF,CTGF,6.15E-07,-0.534826638,0.005,0.119,1.18E-02,TAM
KLHL23,KLHL23,6.16E-07,-0.391242492,0.01,0.127,1.18E-02,TAM
CDC42EP4,CDC42EP4,6.22E-07,-0.322427093,0.039,0.175,1.19E-02,TAM
ZFYVE21,ZFYVE21,6.24E-07,-0.350152861,0.078,0.229,1.19E-02,TAM
IGKV1-5,IGKV1-5,6.28E-07,-0.723862007,0.02,0.142,1.20E-02,TAM
LMOD1,LMOD1,6.32E-07,-0.420089177,0,0.11,1.21E-02,TAM
SLC29A1,SLC29A1,6.37E-07,-0.305401205,0.064,0.209,1.22E-02,TAM
PDGFD,PDGFD,6.53E-07,-0.472632659,0.015,0.133,1.25E-02,TAM
ATP8B1,ATP8B1,6.57E-07,-0.263992419,0.005,0.118,1.26E-02,TAM
GNS,GNS,6.78E-07,0.328533569,0.24,0.13,1.29E-02,TAM
COX4I1,COX4I1,6.79E-07,0.292378097,0.931,0.885,1.30E-02,TAM
TNFRSF10D,TNFRSF10D,6.89E-07,-0.380026073,0.025,0.152,1.32E-02,TAM
TSHZ2,TSHZ2,6.95E-07,-0.253962569,0.005,0.119,1.33E-02,TAM
CCNI,CCNI,6.99E-07,0.330706739,0.824,0.743,1.34E-02,TAM
PLK3,PLK3,7.06E-07,0.271624968,0.377,0.232,1.35E-02,TAM
GPAT2,GPAT2,7.12E-07,-0.477903669,0.005,0.118,1.36E-02,TAM
CD200,CD200,7.23E-07,-0.316499857,0.005,0.117,1.38E-02,TAM
ADH1B,ADH1B,7.26E-07,-0.634894866,0.005,0.117,1.39E-02,TAM
NMD3,NMD3,7.30E-07,-0.497027127,0.098,0.252,1.39E-02,TAM
KIAA0355,KIAA0355,7.55E-07,-0.341865158,0.039,0.175,1.44E-02,TAM
GOLGB1,GOLGB1,7.59E-07,-0.356741707,0.137,0.314,1.45E-02,TAM
AIF1L,AIF1L,7.59E-07,-0.328766423,0.005,0.117,1.45E-02,TAM
PTMS,PTMS,7.60E-07,-0.352534436,0.103,0.263,1.45E-02,TAM
RB1,RB1,7.75E-07,0.452573384,0.299,0.179,1.48E-02,TAM
COL14A1,COL14A1,7.77E-07,-0.431779513,0,0.108,1.48E-02,TAM
IP6K2,IP6K2,7.81E-07,-0.366143841,0.103,0.258,1.49E-02,TAM
TMEM233,TMEM233,7.87E-07,-0.403020401,0.01,0.125,1.50E-02,TAM
DDX24,DDX24,8.12E-07,-0.494907079,0.407,0.592,0.015510364,TAM
ECHDC2,ECHDC2,8.19E-07,-0.45509449,0.054,0.19,0.015649257,TAM
APLNR,APLNR,8.19E-07,-0.400544765,0.015,0.133,0.015653415,TAM
VWA1,VWA1,8.24E-07,-0.365720784,0.01,0.125,0.015745119,TAM
ZCCHC11,ZCCHC11,8.27E-07,-0.354998308,0.059,0.202,0.015805043,TAM
CFAP20,CFAP20,8.29E-07,-0.452311462,0.103,0.259,0.015843762,TAM
KLF6,KLF6,8.40E-07,0.796761766,0.745,0.669,0.016045856,TAM
KALRN,KALRN,8.50E-07,-0.256270805,0.005,0.116,0.016247506,TAM
TMEM14A,TMEM14A,8.57E-07,-0.309556131,0.118,0.289,0.016383313,TAM
MRPS26,MRPS26,8.59E-07,-0.3037022,0.088,0.246,0.016415082,TAM
ARHGEF17,ARHGEF17,8.61E-07,-0.280837859,0,0.107,0.016445077,TAM
MRPL2,MRPL2,8.74E-07,-0.347890886,0.078,0.22,0.016696847,TAM
AKT3,AKT3,9.11E-07,-0.288779143,0.015,0.133,0.017400591,TAM
ANO1,ANO1,9.11E-07,-0.275433694,0.005,0.116,0.017401482,TAM
MAT2A,MAT2A,9.20E-07,0.367365521,0.426,0.283,0.017582153,TAM
EIF2AK2,EIF2AK2,9.24E-07,-0.300881394,0.088,0.245,0.017650429,TAM
MMP2,MMP2,9.37E-07,-0.38190415,0.025,0.148,0.017901228,TAM
PTPRN2,PTPRN2,9.43E-07,-0.297261891,0.01,0.124,0.018024142,TAM
PAIP1,PAIP1,9.54E-07,-0.279577999,0.093,0.25,0.01821781,TAM
IGHG4,IGHG4,9.69E-07,-4.601320973,0.201,0.333,0.018507569,TAM
YBX1,YBX1,9.92E-07,0.757904008,0.809,0.771,0.018944475,TAM
EFHD1,EFHD1,1.00E-06,-0.311641009,0,0.106,0.019181265,TAM
ELK3,ELK3,1.01E-06,-0.440741339,0.088,0.237,0.019255363,TAM
FBN1,FBN1,1.05E-06,-0.337179756,0.015,0.131,0.020115152,TAM
IL33,IL33,1.06E-06,-0.460907644,0,0.106,0.020189768,TAM
ITFG1,ITFG1,1.06E-06,-0.311671691,0.113,0.274,0.020228004,TAM
ARPC5L,ARPC5L,1.07E-06,-0.429230905,0.206,0.38,0.020399054,TAM
MECOM,MECOM,1.08E-06,-0.420200959,0.005,0.115,0.020575531,TAM
ANKRD36,ANKRD36,1.10E-06,-0.322040841,0.02,0.137,0.021087145,TAM
RHOH,RHOH,1.12E-06,-0.419956245,0.039,0.17,0.02135298,TAM
TSPAN18,TSPAN18,1.15E-06,-0.288696253,0.005,0.113,0.021910325,TAM
TRIP6,TRIP6,1.15E-06,-0.282944992,0.074,0.222,0.022053657,TAM
APH1A,APH1A,1.17E-06,0.359608661,0.431,0.301,0.022303466,TAM
AOC3,AOC3,1.17E-06,-0.273371818,0,0.105,0.022366609,TAM
MRPL23,MRPL23,1.20E-06,0.311316203,0.397,0.254,0.022947769,TAM
HECW2,HECW2,1.21E-06,-0.349700661,0.01,0.121,0.023193769,TAM
KLHDC8B,KLHDC8B,1.24E-06,-0.313068706,0.034,0.162,0.023647338,TAM
STAT1,STAT1,1.24E-06,0.462495922,0.373,0.249,0.023777006,TAM
CASKIN2,CASKIN2,1.26E-06,-0.270957523,0.005,0.113,0.024115131,TAM
ARL15,ARL15,1.28E-06,-0.457487891,0.034,0.159,0.024456063,TAM
UBE2D1,UBE2D1,1.29E-06,0.46019001,0.353,0.233,0.024564066,TAM
TUBA1B,TUBA1B,1.41E-06,0.408218993,0.765,0.629,0.026945073,TAM
INTS6,INTS6,1.42E-06,-0.587801254,0.172,0.332,0.0271448,TAM
GGT5,GGT5,1.44E-06,-0.445812596,0,0.103,0.027439823,TAM
BMPR2,BMPR2,1.44E-06,-0.374415674,0.059,0.196,0.027604522,TAM
TERF2IP,TERF2IP,1.45E-06,-0.481753542,0.343,0.509,0.027611896,TAM
NBN,NBN,1.46E-06,0.370366499,0.206,0.105,0.027903617,TAM
SH3PXD2A,SH3PXD2A,1.46E-06,-0.323431928,0.044,0.175,0.027978572,TAM
RBP4,RBP4,1.47E-06,-2.407442528,0.51,0.3,0.028060485,TAM
TTR,TTR,1.50E-06,-1.534576235,0.446,0.257,0.028681539,TAM
HMCES,HMCES,1.50E-06,-0.273990201,0.054,0.188,0.02871874,TAM
INHBB,INHBB,1.51E-06,-0.290055946,0,0.103,0.028876473,TAM
FOXS1,FOXS1,1.51E-06,-0.392888493,0,0.103,0.028876473,TAM
ALB,ALB,1.51E-06,-2.94487176,0.637,0.414,0.028890563,TAM
ISG20,ISG20,1.52E-06,-0.5036627,0.255,0.434,0.02907044,TAM
KLRB1,KLRB1,1.53E-06,-1.808056033,0.039,0.163,0.029142039,TAM
SOX17,SOX17,1.53E-06,-0.418145626,0.01,0.119,0.029158961,TAM
MYL6B,MYL6B,1.54E-06,-0.282289485,0.088,0.239,0.029455928,TAM
SOX7,SOX7,1.56E-06,-0.383687187,0.01,0.12,0.029793839,TAM
SOS1,SOS1,1.58E-06,-0.297021896,0.029,0.152,0.030246953,TAM
PLG,PLG,1.59E-06,-0.521061361,0,0.103,0.03038744,TAM
NAE1,NAE1,1.64E-06,-0.276492223,0.034,0.159,0.031278775,TAM
TSPAN13,TSPAN13,1.66E-06,-0.370649323,0.059,0.194,0.031628778,TAM
EDNRA,EDNRA,1.67E-06,-0.304904642,0,0.102,0.031976519,TAM
SKIL,SKIL,1.71E-06,0.368610333,0.402,0.27,0.03265634,TAM
PHF14,PHF14,1.75E-06,-0.367440554,0.167,0.337,0.033458629,TAM
NBEAL1,NBEAL1,1.75E-06,0.259285464,0.789,0.673,0.033525723,TAM
CSRP1,CSRP1,1.76E-06,-0.621242279,0.191,0.347,0.033622141,TAM
UFD1L,UFD1L,1.79E-06,-0.307703838,0.152,0.32,0.034110683,TAM
ISCU,ISCU,1.80E-06,-0.388977786,0.368,0.563,0.034331347,TAM
MEIS2,MEIS2,1.84E-06,-0.264564743,0.01,0.119,0.035246074,TAM
SMAGP,SMAGP,1.86E-06,-0.269016672,0.029,0.152,0.035587619,TAM
COL5A2,COL5A2,1.88E-06,-0.283815312,0.005,0.111,0.03584289,TAM
NMRK1,NMRK1,1.93E-06,-0.281788011,0.054,0.188,0.036876041,TAM
PSME2,PSME2,2.01E-06,0.480100509,0.676,0.606,0.038430543,TAM
AES,AES,2.02E-06,-0.453870838,0.181,0.345,0.038570979,TAM
RNF5,RNF5,2.03E-06,-0.412512774,0.186,0.346,0.038801801,TAM
STX7,STX7,2.04E-06,0.334799905,0.279,0.163,0.038989433,TAM
PMEPA1,PMEPA1,2.07E-06,-0.317320386,0.049,0.184,0.039489549,TAM
PLN,PLN,2.16E-06,-0.71905592,0.005,0.109,0.041234183,TAM
EID1,EID1,2.17E-06,-0.5655729,0.574,0.655,0.041406301,TAM
MYO10,MYO10,2.22E-06,-0.324414796,0.02,0.134,0.042490716,TAM
NRP1,NRP1,2.23E-06,-0.491140523,0.123,0.271,0.042593347,TAM
NUCKS1,NUCKS1,2.24E-06,-0.549886915,0.48,0.581,0.04288639,TAM
RBP7,RBP7,2.27E-06,-2.166752989,0.172,0.295,0.043341898,TAM
MCOLN1,MCOLN1,2.29E-06,0.319786754,0.211,0.109,0.043710783,TAM
GNAI2,GNAI2,2.34E-06,0.264848137,0.583,0.391,0.044615652,TAM
PECAM1,PECAM1,2.34E-06,-0.891396891,0.255,0.393,0.044762468,TAM
FAM127B,FAM127B,2.39E-06,-0.297072691,0.064,0.2,0.045661664,TAM
TRIB2,TRIB2,2.44E-06,-0.27328335,0.01,0.117,0.046709187,TAM
PAPSS2,PAPSS2,2.45E-06,0.276240832,0.147,0.064,0.046799595,TAM
SHE,SHE,2.49E-06,-0.258388958,0.005,0.108,0.04754432,TAM
ZNF22,ZNF22,2.58E-06,-0.319119357,0.118,0.274,0.049281839,TAM
ARGLU1,ARGLU1,2.59E-06,-0.504823804,0.475,0.642,0.049450228,TAM
AKTIP,AKTIP,2.61E-06,-0.252316432,0.02,0.132,0.049905429,TAM
MT1A,MT1A,2.64E-06,-0.481963464,0.01,0.116,0.050420527,TAM
NOP58,NOP58,2.65E-06,-0.469462143,0.181,0.354,0.05062028,TAM
HIST1H4C,HIST1H4C,2.71E-06,-0.461704205,0.186,0.357,0.051861793,TAM
ACTA2,ACTA2,2.73E-06,-3.417514952,0.25,0.371,0.052104386,TAM
LPP,LPP,2.92E-06,-0.499937556,0.225,0.381,0.055843087,TAM
NASP,NASP,2.97E-06,-0.422801827,0.225,0.4,0.056711966,TAM
TSPAN7,TSPAN7,3.01E-06,-0.328164433,0.02,0.131,0.057535077,TAM
LEPROT,LEPROT,3.02E-06,-0.567517193,0.284,0.425,0.057728173,TAM
PGRMC2,PGRMC2,3.07E-06,-0.271185734,0.103,0.259,0.058709688,TAM
TSPAN3,TSPAN3,3.10E-06,-0.376391205,0.098,0.239,0.059296265,TAM
CX3CL1,CX3CL1,3.12E-06,-0.296634466,0.01,0.115,0.059557648,TAM
FYN,FYN,3.14E-06,-0.540423973,0.093,0.23,0.060068793,TAM
CPPED1,CPPED1,3.16E-06,0.283668475,0.206,0.106,0.060392901,TAM
CLN8,CLN8,3.18E-06,0.316462787,0.255,0.142,0.060849162,TAM
CNKSR3,CNKSR3,3.24E-06,-0.268560512,0.015,0.124,0.06193211,TAM
MGLL,MGLL,3.37E-06,-0.441253113,0.137,0.291,0.064320726,TAM
LAMA5,LAMA5,3.42E-06,-0.267544927,0.015,0.122,0.065289041,TAM
KMT2A,KMT2A,3.45E-06,-0.382887833,0.103,0.25,0.065965967,TAM
KLF13,KLF13,3.53E-06,-0.253999981,0.078,0.219,0.067510903,TAM
MTRNR2L1,MTRNR2L1,3.55E-06,-1.466741675,0.402,0.542,0.067813589,TAM
BCL2L1,BCL2L1,3.55E-06,-0.259553888,0.064,0.199,0.067873243,TAM
IQGAP1,IQGAP1,3.69E-06,0.285983988,0.417,0.277,0.070534469,TAM
SHC1,SHC1,3.70E-06,-0.296828192,0.069,0.202,0.070727222,TAM
MOCS2,MOCS2,3.79E-06,-0.28902667,0.098,0.242,0.072448367,TAM
CDH13,CDH13,3.88E-06,-0.415749706,0.034,0.15,0.074084124,TAM
CCDC80,CCDC80,3.95E-06,-0.435772149,0.005,0.104,0.075404678,TAM
SCO2,SCO2,3.96E-06,0.444293332,0.279,0.176,0.075575454,TAM
SPOCK2,SPOCK2,4.00E-06,-0.630113865,0.025,0.136,0.076333179,TAM
TPR,TPR,4.05E-06,-0.436137732,0.24,0.412,0.077378004,TAM
